0.002415, 0.096600, 50
0.012075, 0.193200, 50
0.031395, 0.386400, 50
0.060375, 0.579600, 50
0.099015, 0.772800, 50
0.147315, 0.966000, 50
0.205275, 1.159200, 50
0.272895, 1.352400, 50
0.350175, 1.545600, 50
0.437115, 1.738800, 50
0.533715, 1.932000, 50
0.639975, 2.125200, 50
0.755895, 2.318400, 50
0.881475, 2.511600, 50
1.016715, 2.704800, 50
1.161615, 2.898000, 50
1.316175, 3.091200, 50
1.480395, 3.284400, 50
1.654275, 3.477600, 50
1.837815, 3.670800, 50
2.031015, 3.864000, 50
2.233875, 4.057200, 50
2.446395, 4.250400, 50
2.668575, 4.443600, 50
2.900415, 4.636800, 50
3.107676, 4.145212, 50
3.284083, 3.528149, 50
3.444198, 3.202291, 50
3.583088, 2.777804, 50
3.695910, 2.256448, 50
3.780429, 1.690375, 50
3.842988, 1.251178, 50
3.899556, 1.131366, 50
3.965863, 1.326129, 50
4.049150, 1.665756, 50
4.148821, 1.993407, 50
4.260723, 2.238048, 50
4.380206, 2.389657, 50
4.503302, 2.461928, 50
4.626935, 2.472649, 50
4.748789, 2.437076, 50
4.867127, 2.366758, 50
4.980629, 2.270043, 50
5.088272, 2.152870, 50
5.189246, 2.019466, 50
5.282889, 1.872863, 50
5.368653, 1.715281, 50
5.446072, 1.548391, 50
5.514748, 1.373513, 50
5.574335, 1.191749, 50
5.624540, 1.004086, 50
5.665113, 0.811461, 50
5.695853, 0.614806, 50
5.716607, 0.415076, 50
5.727270, 0.213253, 50
5.730197, 0.058550, 50
5.730326, 0.002589, 50
5.730326, 0.000000, 50
