0.003662, 0.146490, 50
0.014649, 0.219736, 50
0.032960, 0.366226, 50
0.058596, 0.512717, 50
0.091557, 0.659207, 50
0.131841, 0.805698, 50
0.179451, 0.952188, 50
0.234385, 1.098679, 50
0.296643, 1.245169, 50
0.366226, 1.391659, 50
0.443134, 1.538150, 50
0.527366, 1.684640, 50
0.618922, 1.831131, 50
0.717803, 1.977621, 50
0.824009, 2.124112, 50
0.937539, 2.270602, 50
1.058394, 2.417093, 50
1.186573, 2.563583, 50
1.322076, 2.710074, 50
1.464905, 2.856564, 50
1.615057, 3.003055, 50
1.772535, 3.149545, 50
1.931789, 3.185089, 50
2.052064, 2.405495, 50
2.129670, 1.552120, 50
2.186413, 1.134862, 50
2.221528, 0.702304, 50
2.236994, 0.309315, 50
2.238678, 0.033673, 50
2.242145, 0.069349, 50
2.242814, 0.013387, 50
2.249342, 0.130560, 50
2.263765, 0.288445, 50
2.284613, 0.416972, 50
2.309692, 0.501584, 50
2.336862, 0.543394, 50
2.364322, 0.549205, 50
2.390655, 0.526655, 50
2.414778, 0.482462, 50
2.435881, 0.422048, 50
2.453364, 0.349673, 50
2.466798, 0.268678, 50
2.475885, 0.181739, 50
2.480439, 0.091077, 50
2.481565, 0.022517, 50
2.481565, 0.000000, 50
